[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | SQL: EXPLAIN ( SELECT a.*,b.姓名 FROM dms_报单 as a LEFT JOIN dms_会员 as b on a.编号=b.编号 WHERE ( a.产品 = 1 ) AND ( a.报单状态 <> '未确�\�' ) ORDER BY 购买日期 desc LIMIT 0,25   ) [ RunTime:0.001000s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | SQL: ( SELECT a.*,b.姓名 FROM dms_报单 as a LEFT JOIN dms_会员 as b on a.编号=b.编号 WHERE ( a.产品 = 1 ) AND ( a.报单状态 <> '未确�\�' ) ORDER BY 购买日期 desc LIMIT 0,25   ) [ RunTime:0.002000s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | SQL: select count(1) num  FROM dms_报单 as a LEFT JOIN dms_会员 as b on a.编号=b.编号 WHERE ( a.产品 = 1 ) AND ( a.报单状态 <> '未确�\�' )  [ RunTime:0.001000s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ view_template ] --START--
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Run LocationTemplate Behavior [ RunTime:0.005001s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ view_template ] --END-- [ RunTime:0.005001s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ view_parse ] --START--
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Run ParseTemplate Behavior [ RunTime:0.024001s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024001s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ view_filter ] --START--
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Run TokenBuild Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002001s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011001s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ view_end ] --START--
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ app_end ] --START--
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Run SaveConfig Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:45+08:00 ] /index.php?s=/Admin/Sale/proIndex&_=1454722845100 | INFO: Tag[ app_end ] --END-- [ RunTime:0.002000s ]
[ 2016-02-06T09:40:47+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Tag[ app_init ] --START--
[ 2016-02-06T09:40:47+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Run XSS Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:47+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Tag[ app_init ] --END-- [ RunTime:0.004000s ]
[ 2016-02-06T09:40:47+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Tag[ route_check ] --START--
[ 2016-02-06T09:40:47+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Run CheckRoute Behavior [ RunTime:0.004000s ]
[ 2016-02-06T09:40:47+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Tag[ route_check ] --END-- [ RunTime:0.005000s ]
[ 2016-02-06T09:40:47+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Tag[ app_begin ] --START--
[ 2016-02-06T09:40:47+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003001s ]
[ 2016-02-06T09:40:47+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Run CheckLang Behavior [ RunTime:0.008000s ]
[ 2016-02-06T09:40:47+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011001s ]
[ 2016-02-06T09:40:47+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | SQL: SHOW COLUMNS FROM `config` [ RunTime:0.021001s ]
[ 2016-02-06T09:40:47+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | SQL: SELECT * FROM `config` WHERE ( `name` = 'DIFFTIME' ) LIMIT 1   FOR UPDATE  [ RunTime:0.001000s ]
[ 2016-02-06T09:40:48+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Tag[ view_template ] --START--
[ 2016-02-06T09:40:48+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Run LocationTemplate Behavior [ RunTime:0.004000s ]
[ 2016-02-06T09:40:48+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Tag[ view_template ] --END-- [ RunTime:0.004000s ]
[ 2016-02-06T09:40:48+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Tag[ view_parse ] --START--
[ 2016-02-06T09:40:48+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Run ParseTemplate Behavior [ RunTime:0.041003s ]
[ 2016-02-06T09:40:48+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.041003s ]
[ 2016-02-06T09:40:48+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Tag[ view_filter ] --START--
[ 2016-02-06T09:40:48+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-02-06T09:40:48+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Run TokenBuild Behavior [ RunTime:0.003000s ]
[ 2016-02-06T09:40:48+08:00 ] /index.php?s=/Admin/Cal/settlement&_=1454722847269 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
