[ 2016-02-05T10:01:57+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637717479 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002001s ]
[ 2016-02-05T10:01:57+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637717479 | INFO: Run CheckLang Behavior [ RunTime:0.007000s ]
[ 2016-02-05T10:01:57+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637717479 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.009001s ]
[ 2016-02-05T10:01:57+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637717479 | INFO: Tag[ app_end ] --START--
[ 2016-02-05T10:01:57+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637717479 | INFO: Run SaveConfig Behavior [ RunTime:0.003000s ]
[ 2016-02-05T10:01:57+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637717479 | INFO: Tag[ app_end ] --END-- [ RunTime:0.003000s ]
[ 2016-02-05T10:02:17+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637737802 | INFO: Tag[ app_init ] --START--
[ 2016-02-05T10:02:17+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637737802 | INFO: Run XSS Behavior [ RunTime:0.003000s ]
[ 2016-02-05T10:02:17+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637737802 | INFO: Tag[ app_init ] --END-- [ RunTime:0.003000s ]
[ 2016-02-05T10:02:17+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637737802 | INFO: Tag[ route_check ] --START--
[ 2016-02-05T10:02:17+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637737802 | INFO: Run CheckRoute Behavior [ RunTime:0.005000s ]
[ 2016-02-05T10:02:17+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637737802 | INFO: Tag[ route_check ] --END-- [ RunTime:0.005000s ]
[ 2016-02-05T10:02:17+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637737802 | INFO: Tag[ app_begin ] --START--
[ 2016-02-05T10:02:17+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637737802 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-02-05T10:02:17+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637737802 | INFO: Run CheckLang Behavior [ RunTime:0.008000s ]
[ 2016-02-05T10:02:17+08:00 ] /index.php?s=/Admin/AuthCheck/index1&_=1454637737802 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011000s ]
